Tweet_ID,Tweet,Created,Retweets,Likes
1189902264783253504,RT @mydaybebe: Y'all really preached about mental health after what happened to Sulli and then bullied Wonho until he left monsta x. Fuck e…,2019-10-31 13:49:41,1928,0
1189902254439952384,@yoongiIuvvbot @wandawings Please point it out cuz I literally don't know where I bullied you😐,2019-10-31 13:49:39,0,0
1189902211066712064,RT @mydaybebe: Y'all really preached about mental health after what happened to Sulli and then bullied Wonho until he left monsta x. Fuck e…,2019-10-31 13:49:29,1928,0
1189902203701649410,RT @mydaybebe: Y'all really preached about mental health after what happened to Sulli and then bullied Wonho until he left monsta x. Fuck e…,2019-10-31 13:49:27,1928,0
1189902201646436358,RT @TankSchottle: When someone was trying to be like me using my pics and my name on YouTube I feel like I was being bullied  Deep down in…,2019-10-31 13:49:26,10,0
1189902195338219523,"RT @SorayaAziz: “Tumhaara baap meray baap ka naukar hai (Your father is my father’s servant)”.

Even as a child, the arrogance of Maryam Na…",2019-10-31 13:49:25,260,0
1189902190795804673,RT @Haven_Esque: This man dedicated his entire life to bring joy into others life despite being bullied. WHEN WILL THIS STOP!?!? Everyone n…,2019-10-31 13:49:24,181,0
1189902177302720515,@lumpyyspacehoe it’s coo let kids b free n figure themselves out i guess i got bullied so hard by 18+ ppl when i was still figuring out my sexuality n when i was developing also i had predators so like yea let kids b free but hope they safe n ok too i encountered some pedos who bought me things,2019-10-31 13:49:21,0,0
1189902166493843456,RT @taemants: what makes me mad is wonho chose to leave monsta x following up all these false rumors antis spread about him this past week.…,2019-10-31 13:49:18,284,0
1189902148747829249,RT @mydaybebe: Y'all really preached about mental health after what happened to Sulli and then bullied Wonho until he left monsta x. Fuck e…,2019-10-31 13:49:14,1928,0
1189902287466090499,"RT @MO__Modise: #ThoughtIknewPainUntil I was in an abusive relationship, that time no one believe a girl can abuse a guy in a relationship",2019-10-31 13:49:47,14,0
1189902277940842503,"@DamianCollins Damian Collins said @DCMS Committee also saw footage of Jeremy Kyle using provocative and sometimes abusive language towards participants in the show, but that it could then be edited out of the broadcasted show.",2019-10-31 13:49:45,0,0
1189902274723819520,"CIA-backed militias in Afghanistan continue to engage in atrocities, including summary executions. A new Human Rights Watch Report: https://t.co/3vlhBR53Vg",2019-10-31 13:49:44,0,0
1189902259905167360,"RT @LOLGOP: Katie Hill may not be perfect. And that's the point. Men are never expected to be perfect, especially if they're the type of me…",2019-10-31 13:49:40,139,0
1189902256159764481,"RT @ajs_ln: Update No:🔥4️⃣3️⃣4️⃣🔥
@rk4268421 has been suspended by @Twitter 

Team     : Piddi
Type       : Fanta
Reason  : Abusive https:/…",2019-10-31 13:49:39,3,0
1189902230339624967,"@coaldragon Each person was asked what they thought of Labour “under Jeremy Corbyn.” A carefully framed question you missed.

Only one was actually supportive of Corbyn.

All the other Labour voters were doing so “despite” Corbyn.

The person given most time and first comment was abusive.",2019-10-31 13:49:33,0,0
1189902205987491840,"RT @ffalcon52: @smc429 @j3zcm0 @GOP Why didn’t @Jim_Jordan yell at team doctor to stop abusing his wrestlers?
https://t.co/YjUJ0szkTG",2019-10-31 13:49:27,6,0
1189902203802095617,"RT @steph93065: This is the most abusive, lawless, corrupt and dirty House of Representatives I've seen in my lifetime.",2019-10-31 13:49:27,1411,0
1189902198165180416,"@roommate_ranter @seonaidsnail @radicalhag Women staying in abusive relationships is a ""choice"" but we should still need to provide them with all the support we can give them.",2019-10-31 13:49:26,0,0
1189902180511141889,i cant stand my abusive parents 😭😭,2019-10-31 13:49:21,0,0
1189902237054537728,"RT @Razer: Audio freedom awaits with the new Razer Hammerhead True Wireless Earbuds.

Take on life untethered with ultra-low latency connec…",2019-10-31 13:49:35,469,0
1189901438622679040,"RT @Razer: Audio freedom awaits with the new Razer Hammerhead True Wireless Earbuds.

Take on life untethered with ultra-low latency connec…",2019-10-31 13:46:24,469,0
1189901000145956864,"RT @ThePublius2020: Dear Rep. McCarthy, 

Stop lying to the American people. 

The Senate is the jury and the Chief Justice of the Supreme…",2019-10-31 13:44:40,869,0
1189900822479392769,RT @CRainsWriter: 15 hours left to enter to win a $50 Amazon gift card! #giveaway Happy Halloween! Give yourself a treat. #99c books! #fant…,2019-10-31 13:43:58,2,0
1189900805857374210,RT @UnRealms: Untethered Realms: Untethered Realms 99c Sale &amp; #Giveaway! Enter for a chance to win a $50 Amazon GC and other awesome prizes…,2019-10-31 13:43:54,5,0
1189900789126483969,"RT @eBooksHabit: FREE KINDLE -A physicist working on a top-secret teleportation project for DARPA, desperate to discover the truth finds hi…",2019-10-31 13:43:50,1,0
1189900627217809410,"RT @Razer: Audio freedom awaits with the new Razer Hammerhead True Wireless Earbuds.

Take on life untethered with ultra-low latency connec…",2019-10-31 13:43:11,469,0
1189900311944519680,"RT @MindBlowingVR: Taking @BeatSaber to a whole new level in the Exumas. 

#Synchronized #Untethered #OculusQuest #BeatSaber #VirtualRealit…",2019-10-31 13:41:56,22,0
1189900281917534208,"RT @Razer: Audio freedom awaits with the new Razer Hammerhead True Wireless Earbuds.

Take on life untethered with ultra-low latency connec…",2019-10-31 13:41:49,469,0
1189900261348659200,"RT @Razer: Audio freedom awaits with the new Razer Hammerhead True Wireless Earbuds.

Take on life untethered with ultra-low latency connec…",2019-10-31 13:41:44,469,0
1189902291312103428,RT @JoelEmbiid: That tough guy act ain’t cutting it .... you know what you are.. you know what you’ve always been&gt;&gt;&gt; A PUSSY  (SAY IT LOUDE…,2019-10-31 13:49:48,20030,0
1189902291069030400,RT @SNWHMHKHHWJHCK: Monbebe are current cutting the excess tape off of the post its. Staff is nearby watching. He's planning on taking them…,2019-10-31 13:49:48,171,0
1189902285184421893,RT @JoelEmbiid: That tough guy act ain’t cutting it .... you know what you are.. you know what you’ve always been&gt;&gt;&gt; A PUSSY  (SAY IT LOUDE…,2019-10-31 13:49:46,20030,0
1189902282298556417,RT @FortuneMagazine: How Centene is leveraging cutting-edge technology to better serve more than 15 million members. #ad,2019-10-31 13:49:46,19,0
1189902279643672577,A Witch Repents by Cutting off the Wealth of Her Iniquities https://t.co/zrbXJg4YZC,2019-10-31 13:49:45,0,0
1189902277491847168,"RT @samswey: This is a huge story. This algorithm caused millions of black patients to be denied potentially life-saving medical care, cutt…",2019-10-31 13:49:44,1312,0
1189902277169045504,RT @SNWHMHKHHWJHCK: Monbebe are current cutting the excess tape off of the post its. Staff is nearby watching. He's planning on taking them…,2019-10-31 13:49:44,171,0
1189902276497817600,RT @JoelEmbiid: That tough guy act ain’t cutting it .... you know what you are.. you know what you’ve always been&gt;&gt;&gt; A PUSSY  (SAY IT LOUDE…,2019-10-31 13:49:44,20030,0
1189902263571173382,RT @anaierb: Does anyone remember being younger with your parent at the food store &amp; when they got lunch meat the person cutting it gave yo…,2019-10-31 13:49:41,81,0
1189902255836794880,RT @JoelEmbiid: That tough guy act ain’t cutting it .... you know what you are.. you know what you’ve always been&gt;&gt;&gt; A PUSSY  (SAY IT LOUDE…,2019-10-31 13:49:39,20030,0
1189902289969934336,RT @fawheverb: Hugs reduces anxiety and stress,2019-10-31 13:49:47,514,0
1189902287243816960,"RT @verysmallriver: college: 💜✨come to self-care night 🥰💖 make your own stress ball💖💜✨have some tea!🥰💖💜

students: can you hire more therap…",2019-10-31 13:49:47,2659,0
1189902274849656833,"RT @RyanJohnNelson: Fuck, and I cannot stress this enough, you. #PrEP #HIV https://t.co/ODmOmO3h4A",2019-10-31 13:49:44,118,0
1189902271779426304,"Maybe it’s not (just) stress, maybe you just need to get organized, #blkcreatives  https://t.co/iJNP2hshpK",2019-10-31 13:49:43,0,0
1189902269845655552,I will not stress this enough... please help with this https://t.co/MD7XU0SYye via @Change,2019-10-31 13:49:43,0,0
1189902262224576513,"RT @sarahnahizu: Dear stress, give me a break. I need to rest. My hands are shaking, my head is aching, and my lips want to smile, walaupun…",2019-10-31 13:49:41,504,0
1189902260945465345,@OleleSalvador All these plastic fighters Dey stress ur mentions. 🤣🤣🤣,2019-10-31 13:49:40,0,0
1189902249117523968,"RT @papaspizzagh1: Pizza kakra🍕,drink kakra🥂,stress free life nso kakra. Be strong guys💪🏽,it’s almost Friday!#papaspizza #pizzadelivery #ac…",2019-10-31 13:49:38,2,0
1189902246768730112,"RT @reaIestfrog: me: *is nearly exploding from stress*

me: ah yes, it’s the perfect time to begin the tv series i’ve watched 6 times alrea…",2019-10-31 13:49:37,1103,0
1189902242423414784,"RT @InsuranceEurope: #SolvencyII is already based on a system of stress tests, so @EIOPA_Europa_EU’s additional stress testing reports must…",2019-10-31 13:49:36,3,0
1189902297196879873,"@LKingelot Church burnings can be dismissed as accidents and knife attacks, attacks on white people can be put down to 'mental health'. We are in the midst of the greatest treachery and largest of cover ups, to protect the globalist multicultural 'dream'.",2019-10-31 13:49:49,0,0
1189902290142089216,"RT @ChesterCath: After much anticipation, the incredible Knife Angel arrived at Chester Cathedral this morning.

Made of 100,000 knives col…",2019-10-31 13:49:47,58,0
1189902288829202432,"Patient underwent gamma knife to root entry zone on right with temporary relief of right trigeminal neuralgia. The Right Meckel's cave begins to reveal itself, to open. https://t.co/Eby55ElG4s",2019-10-31 13:49:47,0,0
1189902278683222017,"Halloween costumes:

Nick: Construction Worker
Monica: Cat
Peach: Jason, complete with a bloody knife, hockey mask, and bloody shirt",2019-10-31 13:49:45,0,0
1189902271238352898,"RT @Margot_Hoyt: MISTY CITY - PALETTE KNIFE Oil Painting On Canvas By Leonid Afremov https://t.co/p1RCBMvaAL

Abstract art for evryone :)
#…",2019-10-31 13:49:43,1,0
1189902264493723649,RT @kpophappenings_: when that kpop boy with an IQ of 148 tried to cut an onion with the knife turned upside down,2019-10-31 13:49:41,16106,0
