user_id,username,location,created,followers,following,tweets
1011942569838866432,Insecure_Sander,Doesn't matter...,2018-06-27 12:01:24,281,955,6067
3090033157,Soggyhotdog_,,2015-03-16 15:44:50,6,107,66
717473790939303936,karletnicolx,,2016-04-05 22:07:36,80,493,32924
872873708,LeslieV__,"Alief, Houston",2012-10-11 02:36:49,957,751,60085
1710666054,worden_beth,,2013-08-29 18:32:39,20,143,1243
3259347787,beeMyReflection,"🇯🇴 Kim line, Jimin ❤",2015-06-28 22:31:23,216,463,15311
1159411554418229248,kimjunbooty,OT9 ,2019-08-08 10:30:30,15,92,1523
2997928317,mattbrasrs,"Bauru, Brasil",2015-01-25 15:10:09,313,192,93892
930265489506488320,MaryCLueders1,,2017-11-14 02:45:51,50,395,4158
385194334,melvinteach,"Houston, Texas",2011-10-05 01:47:43,799,260,91889
877788640973398016,KaySizzle7,"Atlanta, GA",2017-06-22 07:21:35,204,847,3013
236007963,Smalli_O,,2011-01-09 15:54:55,382,385,16028
1079251815877758976,Leviathan1292,,2018-12-30 05:44:19,257,1169,2215
702227813617823748,a_roundtuit,Tardis,2016-02-23 20:25:32,94,242,14548
4327062206,roserod99,,2015-11-22 21:29:07,1455,1461,10950
25561096,paperalphabet,NYC / PA,2009-03-20 19:37:07,2194,1859,31414
1824735444,daria_akkura,,2013-09-08 10:06:53,72,143,3592
1064635802356015104,AdvilThePill,"Austin, TX",2018-11-19 21:45:30,541,506,8935
772655598504599552,famous_bex,"California, USA",2016-09-05 04:40:25,65,161,3643
1084999011734601728,SymmFN,,2019-01-15 02:21:37,37,169,1252
517685243,High5Forever,Denmark,2012-03-07 15:20:32,5737,160,153987
1033915800283885568,morningsbell,next state sufjan sings about,2018-08-27 03:15:10,544,248,10081
1167840644393553921,FRNKYOONOH,# FRANK. 10:10PM.,2019-08-31 16:44:53,38,39,15532
146825871,Emarged,Knowhere,2010-05-22 12:54:15,2033,1265,174114
946876697865019393,tyla_png,"Memphis, TN",2017-12-29 22:52:51,851,1932,43268
215308552,glennhoehoe,M 10 Fwy ,2010-11-13 15:40:33,477,726,16190
770848226740011008,MayaTheeePapaya,,2016-08-31 04:58:33,175,181,11314
2438173159,saelsa_elsa,"Bogor Selatan, Indonesia",2014-04-11 08:23:50,740,876,14436
147090823,obatcoldeanflu,wavy 🌊,2010-05-23 05:31:23,431,544,59970
876990065465012225,julieeeb16,"South Houston, TX",2017-06-20 02:28:20,168,224,5520
258802594,Pippov66,,2011-02-28 14:47:54,56,53,9289
2163447984,lu_straps,,2013-10-29 19:52:54,2508,1604,30184
125278223,dhulldinesh,India,2010-03-22 08:50:22,15,105,193
