[],"b""RT @Hoysalanataka: Reliance joins hands with Saudi Aramco \n\nAdani joins hands with UAE's ADNOC \n\nI hope you guys are being equally benefite\xe2\x80\xa6""",b'ShefaliR_',"b'New Delhi, India'"

[],"b'RT @gabcake: dear anxiety,\n\nnot tonight, not tomorrow, nor this week or month. please let me enjoy my life. i hate you. i wannabe free from\xe2\x80\xa6'",b'28polino',b'Honeymoon ave \xf0\x9f\x8c\x9c'

[],b'@Nandi_Madida You are not alone. But I hate losing weight that thing stresses me out. Can my weight agree with my w\xe2\x80\xa6 https://t.co/2ZKC2NiDNO',b'Mkazah',"b'Fleurhof, South Africa'"

[],b'Someone tell me to go to home its 1 AM I hate myself',b'notyourdulhan',"b'California, USA'"

[],b'@AldrinSampear \xf0\x9f\xa4\xa3 Whites hate being criticised of racism publicly by their own black Party Leader nogal.',b'CRaseleka',"b'Midrand, South Africa'"

[],"b'RT @shahirahnizam: The sad truth is that in Malaysia, your success highly depends on your beauty https://t.co/xFp1M4Jxpx'",b'asdfghjatyyy',b'asdamfghjkl'

[],b'RT @ebabys31: I hope my ex becomes the man I know him to be. I hope the people I called friends are living their best life. I hope one day\xe2\x80\xa6',b'mokizzee',"b'Phoenix, AZ'"

[],"b'RT @gabcake: dear anxiety,\n\nnot tonight, not tomorrow, nor this week or month. please let me enjoy my life. i hate you. i wannabe free from\xe2\x80\xa6'",b'HiCallMe_Mai',b'Malaysia'

[],b'RT @realDonaldTrump: Never give up. We are doing GREAT! We are WINNING! https://t.co/MKDn5WStFU',b'PaulaCronin11',"b'Tarpon Springs, FL'"

[],b'I\xe2\x80\x99m so sad',b'kiyhuk',b'\xeb\xaf\xbc\xed\x98\x81 \xea\xb8\xb0\xed\x98\x84'

[],b'I\xe2\x80\x99m so tired',b'shefiqah',b'Malaysia'

[],b'Can we just use all this hate coming for bts and stream buy and support make it right?? Also talk with stations and request alot',b'antouko1',

[],"b'RT @BrandonStraka: Lately I\xe2\x80\x99ve heard a few, \xe2\x80\x9cTrump has done an amazing job- but I\xe2\x80\x99m getting so tired of the bad press\xe2\x80\x9d. \nAre u kidding? \nTh\xe2\x80\xa6'",b'kentuckipatriot',"b'Kentucky, USA'"

[],"b'RT @potatopatatas1: when u open twitter to look for motivation, but everyone is just tired as u'",b'tzarissealmira',

[],b'RT @ebabys31: I hope my ex becomes the man I know him to be. I hope the people I called friends are living their best life. I hope one day\xe2\x80\xa6',b'RosemaryBabyy',b'Yay Areaaaa '

[],"b'RT @ArielxSalinas: I rlly hate when people think they know everything about you, they argue and act like they know you better than yourself\xe2\x80\xa6'",b'_sameranicole15',b'Dallas cowboys \xe2\x9c\xad'

[],b'RT @marcusfutbul9: Black women absolutely hate this combination but love the opposite.. a thread... https://t.co/qn9tuzKPSs',b'yojora',

[],b'RT @andrea_babbie: I can talk to my friends for hours and never get tired of it',b'aaashlieeee',

[],b'RT @khanak_08: If you ever feel sad just remember the world is 4.543 billion years old and you somehow managed to exist at the same time as\xe2\x80\xa6',b'ImApurva45',"b'Maharashtra, India'"

[],b'RT @MrsEmmaJK: My boy is quite tired but happy so we are heading back x We made it to Trafalgar Square and he loved it! He loved the whole\xe2\x80\xa6',b'bernishamhrain',"b'London, England'"

[],b'@tdcmagic i need sleep this is so sad.......',b'btsmvs',b'he/him'

[],"b""RT @crazyboutcats8: @LeaveEUOfficial @piersmorgan It should be criminal. Blocking a democratic vote. Playing games so that we can't leave.\xe2\x80\xa6""",b'james_a_89',"b'Warrington, England'"

[],"b'RT @supravat1955: @ElhamSa84300365 The people in your life should be a source of reducing stress, not causing more of it. Good Morning Mada\xe2\x80\xa6'",b'ElhamSa84300365',

[],b'hate rolling',b'AyoWillis',"b'SouthTown, SA'"

[],b'HATE MONDAY!\n\xf0\x9f\x94\xb4\xf0\x9f\x94\xb4\xf0\x9f\x94\xb4\xf0\x9f\x94\xb4\xf0\x9f\x94\xb4\xf0\x9f\x94\xb4',b'dandy_pamungkas',"b'Delanggu, Indonesia'"

[],b'RT @vicisavvitch: i hate it when some mf thinks it\xe2\x80\x99s rude to crack ur knuckles or smthn like excuse me bitch these are MY bones i will BREA\xe2\x80\xa6',b'youretheworst__',

[],b'RT @nakaylawithluv: armys may be annoying but atleast they don\xe2\x80\x99t trend hate hashtags or blow up hate tweets that get more clout than bts\xe2\x80\x99 s\xe2\x80\xa6',b'kaRo_lovemyself',

[],"b'RT @itsrosenicotine: i no longer have the energy to meet people, to deal with clients, to smile at people and feel uncomfortable when peopl\xe2\x80\xa6'",b'xskulll_',

