[],b'I sent this guy a pic of messi \n\nAnd he said \xe2\x80\x9cwho is that\xe2\x80\x9d https://t.co/NgHuDQT8OU',b'vanvanvan21',b'Forever Up Andr\xc3\xa9 Gomes\xe2\x80\x99s ass'

[],"b'RT @Football__Tweet: If you start your career at 18-years old and you score 30 goals a season for 22 years, you will retire at the of age 4\xe2\x80\xa6'",b'nstxr300',

[],b'RT @RFFH: \xe2\x80\x9cHe\xe2\x80\x99s better than Messi\xe2\x80\x9d \n\nPep showing his faith in youth yet again... https://t.co/nPWnykvQNP',b'finnerty16',b'manchester'

[],"b'RT @TheEuropeanLad: Footballing wise, Messi is looking brilliant again. But you can clearly see how no pre-season + being out for almost 2\xe2\x80\xa6'",b'MEGOO383',

[],b'Thanks YouTube SA \xf0\x9f\x99\x8c\xf0\x9f\x8f\xbd\xf0\x9f\x87\xbf\xf0\x9f\x87\xa6\xe2\x9a\xbd\xef\xb8\x8f',b'OneboysGranson',b'Kimberley \xe2\x80\xa2 Bloemfontein '

[],b'RT @hloraI: tired and sleepy',b'pelpili_07',

[],"b'RT @LadsLasses: The far right make a lot of noise about grooming gangs, the sad reality is that a lot of them are no better. The latest non\xe2\x80\xa6'",b'NorthBankJay',b' NW London #ZebraFirm '

[],b'Never that \xf0\x9f\x98\xbd',b'IqraMohamed20',"b'Seattle, WA'"

['KavinTimeToShine'],b'RT @Muthusiva04: I hate Kavin - \xe2\x9d\xa4\xef\xb8\x8f\n\nI Love Kavin - \xf0\x9f\x94\x84\n\nLets see who Wins ~! \xf0\x9f\xa5\xb3\n\ntag - #KavinTimeToShine',b'Prakash98844503',

[],"b'RT @vyper_ranking: ""Don\'t Stop When You Are Tired, Stop When You\'re Done""...\n\nhttps://t.co/za3V7X7F9T\n\nFollow The Link Above To Watch #Drea\xe2\x80\xa6'",b'SimaeliAswatie',b'kampala'

[],b'RT @loneIymood: when Billie Eilish said \xe2\x80\x9ci ruined so many things that could\xe2\x80\x99ve been amazing because i was sad\xe2\x80\x9d i felt that. being sad is a\xe2\x80\xa6',b'lily_stringer26',

[],b'@Channel4News This is just one of many pictures of exhausted firefighters who had battled the fire at Grenfell for\xe2\x80\xa6 https://t.co/beH9xWYM6D',b'kerryhes',b'Leeds'

[],b'RT @heyitsmekyleee_: i always hate the feeling of being ignored.',b'jstnlablab',b'Ilden Liza Zamora '

